N,phi,K,D,E_per_N_LJ,f_rms,fmax,steps,time_s,status,lammps_bitzek,lammps_default
1000000,0.82,1,0,3.3217984225e-13,1.514957e-08,0.000000e+00,600,66.2,converged,,
1000000,0.82,1,1,3.3217984225e-13,1.514957e-08,0.000000e+00,600,48.7,converged,,
1000000,0.82,1,2,0.0000000000e+00,0.000000e+00,0.000000e+00,600,21.2,converged,,
1000000,0.82,1,3,9.1424942298e-16,1.853676e-09,0.000000e+00,600,37.0,converged,,
1000000,0.82,1,5,0.0000000000e+00,0.000000e+00,0.000000e+00,4600,320.0,converged,,
1000000,0.82,1,8,1.0368520100e+03,2.704853e+00,0.000000e+00,499999,37442.2,max_steps,,
1000000,0.82,2,0,6.3107261360e-12,3.117659e-08,0.000000e+00,800,117.3,converged,,
1000000,0.82,2,1,6.3107261360e-12,3.117659e-08,0.000000e+00,800,48.0,converged,,
1000000,0.82,2,2,3.4934982701e-14,7.636430e-09,0.000000e+00,600,91.1,converged,,
1000000,0.82,2,3,1.9431848638e-10,6.290465e-07,0.000000e+00,600,37.4,converged,,
1000000,0.82,2,5,3.2770423540e-16,1.520450e-09,0.000000e+00,1200,74.8,converged,,
1000000,0.82,2,8,3.0311917927e-10,9.867525e-07,0.000000e+00,72600,5140.0,converged,,
1000000,0.82,4,0,4.8999976150e-03,8.737129e-07,0.000000e+00,1000,59.9,converged,,
1000000,0.82,4,1,4.8999976150e-03,8.737129e-07,0.000000e+00,1000,59.8,converged,,
1000000,0.82,4,2,4.9002165495e-03,1.531011e-05,0.000000e+00,30000,2249.9,stagnated,,
1000000,0.82,4,3,2.2758065571e-06,3.833752e-05,0.000000e+00,30000,1748.8,stagnated,,
1000000,0.82,4,5,2.4178651739e-06,7.323752e-05,0.000000e+00,30000,1762.5,stagnated,,
1000000,0.82,4,8,1.3012316178e-05,2.848159e-04,0.000000e+00,30000,1754.4,stagnated,,
1000000,0.82,8,0,4.9076336369e-03,3.576805e-05,0.000000e+00,30000,1882.2,stagnated,,
1000000,0.82,8,1,4.9076336369e-03,3.576805e-05,0.000000e+00,30000,2323.3,stagnated,,
1000000,0.82,8,2,1.4183806638e-04,1.698782e-04,0.000000e+00,30000,2119.1,stagnated,,
1000000,0.82,8,3,4.9081595186e-03,1.652980e-04,0.000000e+00,30000,1776.5,stagnated,,
1000000,0.82,8,5,9.6233006291e-06,1.951459e-04,0.000000e+00,30000,2728.7,stagnated,,
1000000,0.82,8,8,1.2631134911e-06,7.925410e-05,0.000000e+00,60000,3980.1,stagnated,,
1000000,0.82,16,0,4.9006323251e-03,1.622800e-05,0.000000e+00,30000,1779.3,stagnated,,
1000000,0.82,16,1,4.9006323251e-03,1.622800e-05,0.000000e+00,30000,1813.5,stagnated,,
1000000,0.82,16,2,8.7934890988e-05,2.600925e-04,0.000000e+00,30000,1768.2,stagnated,,
1000000,0.82,16,3,6.6821555742e-05,3.885565e-04,0.000000e+00,40000,2375.0,stagnated,,
1000000,0.82,16,5,1.1202631821e-05,2.285682e-04,0.000000e+00,30000,1768.7,stagnated,,
1000000,0.82,16,8,3.3817208481e-06,1.232302e-04,0.000000e+00,170000,10054.2,stagnated,,
1000000,0.82,32,0,4.9020561966e-03,4.784978e-05,0.000000e+00,30000,1814.2,stagnated,,
1000000,0.82,32,1,4.9020561966e-03,4.784978e-05,0.000000e+00,30000,2056.1,stagnated,,
1000000,0.82,32,2,4.9345255594e-03,2.439958e-04,0.000000e+00,30000,2222.2,stagnated,,
1000000,0.82,32,3,4.8113787469e-05,3.037583e-04,0.000000e+00,30000,1873.9,stagnated,,
1000000,0.82,32,5,1.1250368166e-05,2.120189e-04,0.000000e+00,30000,2455.5,stagnated,,
1000000,0.82,32,8,1.4509833016e-06,8.123236e-05,0.000000e+00,230000,18636.1,stagnated,,
1000000,0.84,1,0,2.2001091888e-10,1.477793e-07,0.000000e+00,3000,171.3,converged,,
1000000,0.84,1,1,2.2001091888e-10,1.477793e-07,0.000000e+00,3000,247.2,converged,,
1000000,0.84,1,2,1.0667628289e+03,2.780663e+00,0.000000e+00,10000,666.7,diverged,,
